Unnamed: 0,ID,2011,2012,2013,2014,2015,2016,2017,2018,start_year
6737,51061356200,3,3,3,6,8,8,8,10,2011
6743,55355244100,3,3,4,4,4,4,4,4,2011
6774,42862324000,3,3,3,3,3,3,3,3,2011
6808,7005127928,7,7,7,7,7,7,7,7,2011
6864,55302952300,4,4,4,4,4,4,4,4,2011
6876,55264808400,2,3,3,3,3,3,7,7,2011
6882,50860968300,4,4,4,4,5,5,5,5,2011
6883,6602153049,11,11,11,16,17,23,23,24,2011
6913,42960993600,1,1,1,1,1,1,1,1,2011
6938,37561661400,1,1,1,1,1,1,1,1,2011
6942,24825505400,2,3,5,5,5,6,8,8,2011
6944,43461868800,9,9,9,9,9,9,9,9,2011
6954,39362121400,4,4,4,4,4,4,4,4,2011
6975,42361032800,3,3,3,3,3,3,3,3,2011
6982,52464608800,8,8,8,8,8,8,8,8,2011
7001,12345377700,6,6,6,6,11,13,33,42,2011
7020,56829173600,4,4,4,4,4,4,4,4,2011
7026,36859801700,1,1,1,1,1,1,1,1,2011
7038,6701436505,4,4,4,4,4,4,4,4,2011
7083,6602662061,5,5,5,5,5,5,5,5,2011
7103,6602213769,4,4,4,4,4,4,9,10,2011
7124,57199803686,12,12,12,12,12,12,12,12,2011
7134,57190274074,2,2,3,3,3,5,5,23,2011
7146,26422212600,9,12,12,12,12,12,12,15,2011
7151,47562015400,3,6,6,6,7,8,10,10,2011
7155,26431276600,6,6,6,6,6,6,6,6,2011
7162,57198563910,25,25,25,25,25,25,25,25,2011
7168,54683872400,1,8,9,11,12,12,12,12,2011
7220,53866364800,3,3,3,3,3,3,3,3,2011
7229,38461609800,3,3,3,3,3,3,3,3,2011
7249,26435138300,5,5,6,6,6,6,6,6,2011
7288,36473980600,4,10,10,10,10,10,10,10,2011
7290,56854856200,3,3,3,3,3,3,3,3,2011
7299,6603580622,4,4,4,4,4,4,4,4,2011
7341,35418456500,13,13,13,13,13,13,13,13,2011
7375,17433978100,10,13,13,13,18,18,18,18,2011
7382,12143087600,5,5,5,5,5,5,5,5,2011
7441,36867157700,32,32,32,32,32,32,32,32,2011
7445,36666208500,6,6,6,6,6,6,6,6,2011
7451,6603582447,12,12,12,12,12,12,12,12,2011
7459,56618593100,2,2,2,2,2,2,2,2,2011
7460,36960938800,3,3,3,3,3,3,3,3,2011
7472,48761134900,1,1,1,6,6,6,6,6,2011
7495,37041761800,2,2,2,2,2,2,2,2,2011
7518,36169479700,2,2,2,2,2,2,2,2,2011
7550,56039394100,10,10,12,12,12,16,16,16,2011
7568,6701740519,5,5,16,16,16,16,16,16,2011
7576,36701317300,2,3,4,4,4,4,4,4,2011
7581,8238125800,11,11,11,11,11,11,11,11,2011
7587,36616001300,4,4,6,6,6,6,6,7,2011
7595,6602728602,11,11,11,11,11,11,11,11,2011
7678,42561227700,2,2,5,5,8,8,9,11,2011
7680,14062757900,4,4,4,4,4,4,4,4,2011
7699,56238759300,3,4,5,5,5,12,14,18,2011
7701,25651775900,5,5,5,7,10,10,10,10,2011
7729,14830490700,5,5,5,5,5,9,19,19,2011
7735,56223361900,1,1,1,1,1,1,1,1,2011
7773,6701685960,7,7,7,7,7,7,7,7,2011
7803,24073464900,3,3,3,3,3,3,3,3,2011
7832,6603006712,1,1,1,1,1,1,1,1,2011
7841,14022498500,3,7,7,7,7,9,9,9,2011
7874,53871089400,9,23,23,23,23,23,23,23,2011
7886,37121828000,1,1,1,1,2,2,2,7,2011
7891,38561815200,3,4,8,8,8,8,8,8,2011
7929,6603017725,9,9,9,9,9,37,45,45,2011
7958,35116000800,2,2,4,4,4,4,4,4,2011
7961,38061421800,3,3,3,3,3,3,3,3,2011
7976,24473662600,14,14,14,14,14,14,14,14,2011
8003,36683327300,4,4,4,4,4,4,4,4,2011
8035,53866918900,3,3,4,5,5,9,15,15,2011
8055,6508127763,3,3,3,3,3,3,3,3,2011
8085,55876986200,4,4,8,9,9,9,9,9,2011
8104,7406375940,2,2,2,8,8,8,8,10,2011
8129,7101619950,19,19,23,23,23,23,23,23,2011
8163,54941444000,1,1,2,2,2,2,2,5,2011
8181,7102121257,2,2,2,2,2,2,2,6,2011
8182,6603587965,5,5,5,5,5,5,5,5,2011
8186,55911547800,2,2,2,2,2,2,4,4,2011
8191,6602824077,6,6,6,6,6,6,6,10,2011
8226,14021301100,4,4,4,4,4,4,4,4,2011
8238,14521699200,10,13,13,13,13,13,13,13,2011
8240,8961795500,3,3,3,3,3,3,3,3,2011
8271,55311396800,16,16,16,16,16,16,16,16,2011
8293,54884446100,5,5,6,8,8,8,8,8,2011
8384,39962756600,5,5,5,5,7,7,12,12,2011
8402,36457114900,1,1,1,1,1,1,1,1,2011
8432,57198162024,7,7,7,7,7,7,7,7,2011
8450,55953078600,4,4,4,4,4,4,4,4,2011
8451,54882731300,60,60,60,60,60,60,60,60,2011
8453,40461721900,3,3,3,3,3,3,3,3,2011
8484,37057062300,2,9,11,11,11,13,17,20,2011
8493,23394465400,4,4,4,4,4,4,4,4,2011
8510,7004477926,3,3,3,3,3,3,3,3,2011
8514,12244761800,18,18,18,18,18,18,18,18,2011
8539,50262899300,3,3,3,3,3,3,3,3,2011
8541,55013985200,2,2,2,2,2,2,2,2,2011
8553,7102953338,7,7,7,7,17,17,17,17,2011
8555,37033614000,9,9,9,9,9,9,9,9,2011
8561,36016336600,7,7,7,7,7,7,7,7,2011
8638,55202294000,5,5,6,6,6,6,6,6,2011
8643,6506943740,2,2,2,2,2,2,2,2,2011
8664,57197248041,5,5,5,5,5,5,5,5,2011
8676,35261505500,10,10,17,17,17,17,17,17,2011
8683,6603457765,2,2,4,4,4,4,4,4,2011
8698,6503987595,2,3,4,5,5,5,7,7,2011
8751,37860992200,2,2,2,2,2,2,2,2,2011
8780,36080372800,2,11,11,17,17,17,17,17,2011
8828,45061138800,12,12,12,12,12,12,12,12,2011
8835,44361306900,7,7,7,8,13,14,14,20,2011
8848,15041773800,1,1,1,1,1,1,1,1,2011
8876,7006592791,2,3,3,3,3,3,3,3,2011
8896,8631072500,4,4,4,4,9,9,9,9,2011
8906,7404274504,15,15,15,15,15,15,15,15,2011
8913,36080648100,4,4,8,8,8,8,8,8,2011
8916,54784071200,2,2,2,2,5,5,5,5,2011
8926,26435065100,21,21,21,33,36,40,44,46,2011
8928,30267549000,22,30,30,54,54,55,55,55,2011
8957,41862477100,2,2,2,2,2,2,2,2,2011
9042,8284686300,3,3,4,5,5,5,5,5,2011
9078,57203395364,14,14,14,14,14,14,14,14,2011
9108,7004329244,15,15,15,43,43,43,43,43,2011
9112,22957332600,2,2,2,2,2,2,2,2,2011
9118,23007599400,83,83,83,83,83,83,83,83,2011
9134,7404841941,2,2,2,2,2,2,2,2,2011
9138,8314999100,4,4,4,4,4,4,4,4,2011
9142,54390773500,2,2,2,2,2,2,2,2,2011
9165,36789379900,7,7,7,7,15,15,15,15,2011
9175,14632483400,3,3,3,3,3,3,3,3,2011
9194,6505985294,4,4,4,16,16,16,16,16,2011
9211,37078982400,5,5,5,5,5,5,5,5,2011
9220,7005391859,3,3,3,3,3,3,3,3,2011
9238,56528331100,3,3,3,3,3,3,3,3,2011
9245,7003596576,6,6,6,6,6,6,6,6,2011
9263,49963314900,1,1,1,1,1,1,1,1,2011
9288,50061326000,6,6,6,6,6,6,6,6,2011
9327,50162245500,11,11,11,11,11,11,11,11,2011
