Unnamed: 0,ID,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
9684,8649922200,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
9748,15737264900,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,2004
9828,12140214000,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2004
9829,7003660479,15,15,15,27,88,88,115,115,115,115,115,115,115,115,115,2004
9850,6504799311,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
9867,57197210462,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
9878,7102747178,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2004
9910,57198464710,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
9920,6701710477,6,6,6,6,55,66,81,81,81,81,81,81,81,81,111,2004
9935,6507704299,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
9936,6505827997,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
9971,7402172965,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2004
10039,6507643846,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
10055,57194475584,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,2004
10056,55402522100,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
10059,6506932461,3,5,7,7,7,7,7,7,14,18,18,21,21,26,26,2004
10085,6603393347,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
10153,7005474386,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,2004
10166,36956851600,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
10201,56264117000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
10308,8659094200,12,14,14,14,14,14,14,14,14,14,14,18,18,18,18,2004
10348,7003554136,1,1,4,4,4,4,4,4,4,4,6,10,15,15,15,2004
10358,55907357800,4,4,4,4,4,4,6,6,6,15,15,20,20,20,20,2004
10364,8535509400,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
10388,56026006700,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
10411,7005284689,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2004
10422,6506888232,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
10424,7006211656,28,28,28,28,28,28,43,43,52,52,52,52,52,52,52,2004
10448,56026063000,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2004
10584,7202063792,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
10604,6505879538,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2004
10607,8210906700,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
10620,6603655067,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
10684,6507364766,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,2004
10695,26646604000,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
10727,8392564500,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
10770,7101910293,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2004
10797,7004158084,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
10815,22333626200,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
10822,6507173368,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
10823,35227901600,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2004
10832,8569843600,3,3,3,3,3,3,3,16,16,16,16,23,26,26,26,2004
10843,57202107233,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2004
10846,8725757600,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
10975,6504779882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
11025,7004031004,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,2004
11071,7103361644,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,2004
11140,7102151271,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2004
11143,6507776388,9,19,19,19,19,19,19,19,22,22,22,22,22,22,22,2004
11152,6602632647,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,2004
11184,7006622655,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
11262,55300357400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
11287,23977653400,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2004
11311,14032571800,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
11321,22633267000,4,5,6,6,6,6,6,9,11,13,15,21,27,30,34,2004
11363,6602983831,2,2,2,2,2,2,2,2,2,16,16,16,16,19,19,2004
11396,7005583997,9,9,25,25,64,70,70,70,81,81,81,82,82,82,82,2004
