Unnamed: 0,ID,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
8481,7006822954,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
8534,57194793988,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
8588,22733664200,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2003
8599,36450788000,2,4,4,4,4,4,4,6,9,9,10,15,19,22,30,30,2003
8631,24824260700,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2003
8672,6603818829,26,39,49,49,49,49,49,49,49,49,49,49,54,54,54,54,2003
8720,57197574905,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
8740,7006299676,1,5,5,5,5,5,8,9,9,9,9,16,16,16,16,16,2003
8773,56634421000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2003
8780,7402019092,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2003
8813,6602449699,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2003
8834,6506350179,4,8,8,8,15,15,15,15,15,15,15,15,15,15,15,15,2003
8841,10038783700,6,6,7,7,7,7,9,12,12,19,19,19,19,19,49,49,2003
8890,7007129228,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2003
8907,6504240380,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2003
8931,6508133215,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
8951,6506935065,5,5,5,5,10,14,19,26,30,31,42,42,44,44,49,76,2003
9044,7005716908,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,2003
9055,6508196724,4,4,4,4,6,6,6,6,11,11,11,11,11,11,11,11,2003
9064,6602113800,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2003
9077,56455419200,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
9148,8714531400,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2003
9225,7103226177,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
9233,36761682200,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2003
9303,16039058700,4,6,6,8,12,13,13,13,13,13,13,13,13,13,13,13,2003
9320,56229012300,10,10,10,10,19,31,32,34,45,57,58,59,70,73,77,79,2003
9321,8531092400,3,4,8,11,11,11,16,19,27,28,29,30,30,30,30,35,2003
9400,8934649400,3,3,3,3,3,3,6,6,6,6,6,8,8,8,8,8,2003
9441,7005889055,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
9457,55482843400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
9492,6506046877,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
9518,57196477266,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2003
9525,22333919000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
9594,7005461633,3,3,6,6,6,6,6,10,15,15,15,15,15,15,19,19,2003
9597,6507827557,5,8,8,11,11,15,16,21,22,22,24,48,48,48,48,48,2003
9640,22134204900,2,2,2,2,3,3,5,12,12,12,15,23,23,23,25,25,2003
9667,55912502000,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
9735,37561928500,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
9757,56875445400,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
9879,7801664220,1,3,3,3,3,3,3,5,6,6,6,6,6,6,8,8,2003
9904,8405048800,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2003
9941,7404118744,5,5,5,5,5,7,7,10,10,10,10,10,10,10,10,10,2003
10024,6701366635,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2003
10043,7801450030,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2003
10050,6701439741,10,10,10,13,13,13,13,13,13,13,13,13,14,14,14,14,2003
10052,6602592700,2,2,2,2,2,2,2,2,3,3,5,5,5,5,5,5,2003
10065,55968646000,1,1,1,1,1,1,4,4,6,6,6,6,6,6,6,6,2003
10071,6505903323,3,3,5,5,5,7,7,7,7,7,7,7,7,7,7,7,2003
10095,7203036945,1,1,5,5,11,12,14,14,15,15,15,15,15,15,15,15,2003
10181,56265642300,12,17,17,17,17,17,20,20,20,20,26,26,26,26,26,34,2003
10247,10043235200,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2003
10280,6603783277,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
10337,6504269683,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2003
10386,57197588756,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2003
10395,6602761764,3,3,3,4,8,8,12,12,15,15,15,18,18,24,24,24,2003
10399,6603927952,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
10442,6602740782,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
10466,6508014614,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2003
10485,6504167281,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
10510,7201515549,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
10534,7006607981,1,3,3,6,6,7,7,10,15,15,15,15,15,15,15,15,2003
10543,6602121282,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2003
10588,7004940350,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
10628,6603238859,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2003
10631,7202206920,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2003
10715,6508199584,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,9,2003
10761,6602762179,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,2003
10781,55928821800,1,1,2,2,2,2,2,2,2,5,5,5,5,5,5,5,2003
11038,15756194200,2,4,10,14,16,17,17,17,23,32,34,35,35,39,39,55,2003
11196,7006706193,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
11245,7006509646,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
