ID,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
8878783400,27,59,59,71,74,74,74,74,74,74
57196768108,3,3,3,3,3,3,3,3,3,3
26531797800,3,3,3,3,3,3,3,3,3,3
36647600300,0,0,2,2,2,2,2,2,2,2
26423927400,0,0,5,5,5,5,5,5,5,5
36871646600,0,0,0,0,0,0,0,4,4,4
35247858500,0,0,11,19,20,20,20,20,20,20
35218994500,2,2,2,10,18,20,24,25,28,38
6603146936,0,0,0,0,0,14,14,14,14,14
35753623400,3,3,3,3,3,3,3,3,3,3
44061770000,0,0,0,3,3,3,6,6,9,9
35098682300,0,0,6,6,6,6,6,6,6,6
35111157200,2,2,2,2,2,2,2,4,18,19
28667453800,0,0,0,0,0,9,9,9,9,9
35791039000,0,0,0,0,6,6,6,6,6,6
22934349100,5,8,8,8,8,8,8,8,8,8
7006329088,3,3,5,8,8,8,8,8,8,8
56767766400,0,0,0,0,0,0,0,0,0,1
34869135400,3,3,3,3,3,3,3,3,6,6
7003865400,2,3,3,3,7,7,7,7,7,7
24588315900,0,0,0,0,5,5,5,5,5,5
6701363691,0,0,0,0,0,0,0,0,0,5
57197395666,4,4,23,23,25,25,25,25,25,25
6602122367,8,8,8,8,8,8,8,8,8,8
55894739500,5,5,5,5,8,8,8,12,12,12
7402155969,4,4,7,7,13,15,15,17,17,23
53866876700,3,3,3,3,3,3,3,3,3,3
24764847600,1,3,3,3,3,5,5,5,5,5
35298465400,0,0,0,0,0,0,0,6,6,6
51863290800,1,1,1,1,1,1,7,7,7,7
26656366200,5,5,5,6,7,7,7,7,7,7
7101702977,5,7,7,7,11,11,11,11,11,24
6506003135,5,5,5,5,5,5,5,5,5,5
36449128200,3,3,3,3,3,3,3,3,3,3
25723752300,2,2,2,2,2,4,4,7,7,7
35955476400,2,5,6,9,9,11,20,20,20,20
54581794300,0,0,4,4,4,4,4,4,4,4
57203380294,7,8,8,8,8,8,8,8,8,8
34873220200,15,19,19,19,25,25,28,30,32,32
35436121000,2,2,2,2,2,2,2,2,2,2
8286373600,0,0,0,0,0,3,6,6,7,7
36180760000,0,0,0,2,2,2,3,3,6,9
35320510900,0,0,5,5,5,5,5,5,5,5
35168368500,0,0,0,0,0,0,5,5,5,5
26664580300,9,9,11,13,13,22,22,22,30,36
16038583700,7,7,7,7,7,7,7,7,7,7
26531926700,0,3,3,3,3,3,3,3,3,3
56562386300,0,3,3,3,3,3,3,3,3,3
23397682500,0,0,0,0,0,0,0,0,0,3
7006423554,0,0,0,0,0,2,2,2,2,2
22433944500,0,0,0,0,0,0,0,21,21,21
28567537600,5,14,15,15,26,26,42,56,64,70
24483707700,0,0,1,1,1,1,1,1,1,1
26434128300,0,0,2,2,2,2,2,2,2,2
35172601800,1,1,1,1,1,1,1,1,1,1
25824734100,4,5,5,5,5,7,11,11,11,11
35089951700,0,6,6,6,6,6,6,6,6,6
35172944300,0,0,0,0,0,4,4,4,4,4
7006399225,4,18,23,23,23,23,23,23,23,23
36789625400,0,0,0,0,0,10,10,10,10,10
9535790700,5,5,9,9,9,9,9,9,9,9
35224166900,3,3,3,3,5,5,5,5,5,9
57204345614,0,0,0,5,5,5,5,5,5,5
56536802100,9,9,14,15,15,15,15,15,15,15
57206305658,0,0,0,0,0,0,0,0,0,9
24075630100,0,0,0,0,0,0,0,0,0,51
6603637811,8,8,11,11,11,11,11,11,11,11
35791508100,0,0,0,2,2,2,2,2,2,5
35741013000,0,0,0,0,0,0,4,4,4,4
