Unnamed: 0,ID,2012,2013,2014,2015,2016,2017,2018,start_year
8792,55414590100,3,4,4,4,10,10,10,2012
8800,14060048400,3,9,9,9,9,9,10,2012
8813,55829889400,8,8,8,10,10,13,13,2012
8849,24823222100,8,8,8,8,8,8,8,2012
8889,8390872300,19,19,19,19,19,19,19,2012
8906,55421230800,2,2,2,2,2,2,2,2012
8916,7202006961,3,3,3,3,3,3,3,2012
8953,22735230000,5,5,5,5,5,5,5,2012
8962,6602640938,8,20,20,20,20,20,20,2012
8963,55489059700,3,5,5,5,5,5,5,2012
8986,54898337000,3,3,3,3,3,3,3,2012
8987,37661456500,4,10,10,10,10,10,10,2012
8999,35789830500,3,5,5,5,6,7,7,2012
9006,7005651253,4,4,10,10,10,22,22,2012
9039,55389883800,2,2,2,2,2,2,2,2012
9051,6601990079,8,12,12,12,12,12,12,2012
9057,55093789400,4,4,4,4,4,4,4,2012
9068,55111470500,9,9,9,11,11,11,17,2012
9071,7403505493,28,28,28,28,28,28,28,2012
9084,6603293949,3,3,3,3,3,3,3,2012
9091,6507427156,4,5,5,5,5,5,5,2012
9108,55322473300,5,5,5,5,5,5,5,2012
9112,55030182900,26,26,26,26,26,26,26,2012
9120,6602887222,12,12,12,12,12,12,12,2012
9130,55249930500,1,1,1,1,1,1,1,2012
9152,56033386500,2,2,2,2,2,2,2,2012
9178,7006252628,4,4,4,4,4,4,4,2012
9204,55548178400,5,5,5,9,9,11,11,2012
9210,37074054500,4,28,28,28,28,28,28,2012
9216,22133757700,1,1,1,5,5,5,6,2012
9225,57203919394,4,4,4,4,4,4,4,2012
9244,55427075400,6,6,6,6,6,6,6,2012
9246,16401950800,3,3,3,3,3,5,5,2012
9264,55498004800,5,5,5,5,5,5,5,2012
9265,55569776000,2,2,2,2,2,2,2,2012
