ID,2013,2014,2015,2016,2017,2018
55695280000,1,1,3,4,5,5
55876761700,4,18,24,43,43,43
55830498900,5,5,5,5,5,5
23766871300,6,6,6,6,6,6
55968767300,6,6,6,6,6,6
55524062400,3,3,3,4,5,8
7003461622,3,3,6,6,6,6
7101920327,6,7,7,7,7,7
55839060100,2,2,5,5,10,13
7102089836,10,10,10,10,10,10
22951993000,2,7,10,10,10,10
57204344327,3,85,85,85,85,85
55837149200,4,4,4,8,8,8
50760937200,17,19,19,22,22,25
55754677300,2,2,2,4,4,4
55327448000,7,7,7,7,7,7
35311503200,3,3,7,7,7,10
6505476081,4,5,5,5,8,9
14631026900,51,79,88,88,88,88
35500052800,6,6,6,6,6,6
23393554000,3,5,6,7,7,8
55601976000,6,6,6,6,6,6
7006336049,14,14,14,14,14,14
55785895700,2,2,5,5,5,5
55826039100,3,3,3,13,19,24
7003794163,7,7,7,7,7,7
35739723700,5,5,5,5,5,5
55736183700,5,6,6,6,6,6
57192275272,18,18,20,21,21,21
55920844000,6,6,6,6,6,6
56038454600,3,3,3,3,3,47
9740379700,5,5,5,5,5,15
23569748800,6,6,6,9,9,9
57203103184,5,5,6,6,6,10
36637529900,4,4,4,4,4,4
7102890221,11,23,31,44,49,73
55173884500,2,2,2,2,2,6
15057478400,2,4,8,11,12,12
23670308500,8,9,9,9,9,9
56200912800,6,6,6,6,6,7
57193410771,1,1,5,6,7,7
13002703500,7,12,13,14,16,16
55775306900,5,5,5,5,5,6
55661856600,3,3,5,10,13,18
56117272000,5,5,5,5,5,5
57024163700,3,3,3,3,3,3
56102718800,2,3,3,3,3,3
56122441700,3,3,3,3,10,12
7006890049,2,2,3,3,3,3
36456761900,2,3,3,3,4,9
7004598742,6,6,6,6,6,6
55827803400,14,24,27,66,67,77
55533820000,11,13,13,14,15,15
55888054500,2,34,57,63,68,76
55537831100,26,26,27,27,27,27
16317961100,23,23,23,23,23,23
55816842000,5,5,6,9,10,10
18836607200,3,3,3,3,3,3
55854251700,4,4,4,14,14,14
57203366854,15,24,26,28,30,30
56016564200,1,1,1,3,3,3
7003702415,13,17,17,17,17,17
56032394700,4,4,5,5,5,5
36150148800,5,15,20,26,33,39
24726426800,4,4,4,12,15,15
55039570600,4,4,4,5,11,11
35183522700,9,9,11,13,14,14
55630072200,7,8,8,8,8,8
7201540826,56,56,56,56,56,56
55960793700,22,26,33,36,36,36
55831157100,4,4,7,7,7,7
56015525300,3,3,3,4,4,5
56028691900,2,2,4,4,4,4
6603434395,1,1,1,1,1,2
36054285400,3,3,6,6,6,6
55602503500,4,4,4,5,5,11
56102462900,2,2,4,10,10,10
55377995900,7,30,34,43,47,52
35073668300,6,6,6,6,6,6
46061857300,10,10,10,10,10,10
55871170100,3,3,3,8,8,12
55936431200,6,10,13,21,23,27
55545861201,7,10,15,19,30,38
55904945200,4,6,6,7,14,21
55413639400,3,5,5,6,8,8
6603368997,5,8,8,8,9,9
54956702400,5,5,5,5,7,7
35589680300,11,11,11,11,11,11
55604204900,4,7,12,12,12,12
55918242500,4,4,4,6,6,6
55735010800,2,5,10,10,10,10
56004786100,3,4,6,6,6,9
25653931300,3,3,4,4,4,4
9639684400,28,28,28,28,28,28
55903696300,6,6,11,11,11,12
14035131100,13,13,13,13,13,13
14055475400,8,8,8,8,8,8
55772309800,3,3,3,3,3,3
56523263300,3,4,7,9,11,11
7003454987,16,16,16,16,16,16
6603810077,4,4,4,4,4,4
55925896500,4,4,4,6,6,6
24477228600,1,1,5,9,9,14
26532629200,4,4,4,4,10,16
55872671100,4,4,5,5,5,5
29067566400,6,6,6,6,6,6
55249718900,9,9,9,11,11,11
13005705700,3,3,3,4,4,6
57203067003,6,6,11,15,15,19
17134202200,4,4,4,4,4,4
53879784400,8,31,38,40,56,65
23569294100,3,3,3,3,4,4
55517078700,3,6,6,7,7,7
55125243100,5,5,5,5,5,5
56131172100,2,2,2,2,2,2
7404920047,23,23,23,23,23,23
55863115300,7,7,8,11,13,13
34568149000,6,6,6,6,6,6
55574535900,1,1,5,5,5,10
35566707800,3,3,3,3,3,3
36562438800,3,3,3,7,9,9
55316960300,16,16,16,16,16,22
8415652500,12,12,12,12,12,12
56266729400,2,6,6,9,19,25
55734419800,3,3,3,3,3,3
7402195730,15,15,15,15,15,15
24504009500,11,11,11,15,16,16
55637650600,5,9,11,12,16,23
55966875300,6,6,6,6,6,6
55969803100,2,2,2,4,4,4
55972284300,4,4,4,4,4,4
7005801091,7,7,7,7,7,12
50761103900,27,27,27,27,27,27
7004638946,4,4,7,7,7,7
37861348100,2,2,2,4,4,4
7402748291,7,7,7,7,7,7
55830154200,2,2,2,2,2,2
56105979500,5,5,5,5,5,5
25936943300,10,11,11,11,11,11
26664815600,21,21,21,21,21,21
6603280387,7,14,20,24,26,30
7102952372,12,12,12,12,12,12
56538721500,7,9,9,9,14,14
7003652725,4,4,4,4,4,4
48161058300,3,4,5,5,9,9
24777228100,2,2,2,2,2,2
55253611900,1,1,1,1,1,1
55891610900,16,16,16,16,16,16
57200890745,2,2,2,2,3,3
15766187300,15,20,22,22,22,22
56940192400,2,2,6,8,9,9
36624006500,5,5,5,5,5,5
55355709600,5,5,5,5,5,6
55337503700,11,11,11,11,11,11
12783269900,3,3,3,3,3,3
56121380800,1,5,5,6,7,9
55906714900,3,3,3,3,3,6
57117901600,2,2,9,9,9,9
55772009900,3,3,3,3,11,11
55957141900,1,1,1,1,1,1
56040782200,2,2,7,7,10,10
56102084600,3,3,3,3,3,5
37108797800,6,6,6,6,6,15
56152331100,3,13,15,19,22,24
56015087400,2,2,2,2,2,2
55658298900,33,41,46,48,50,50
42862074000,6,10,11,16,19,19
13405344600,5,11,11,11,17,18
54421161900,2,5,5,7,8,8
54787317800,6,6,6,6,6,6
36738789400,2,2,6,8,8,8
55566525500,13,13,13,13,13,13
22836580000,2,7,10,14,20,22
55414675200,3,4,4,6,7,9
35422503700,7,7,7,7,7,7
55332098800,2,2,3,6,6,6
6701686358,7,10,10,10,10,10
55180662700,1,1,4,4,4,4
55940840400,1,1,1,1,4,4
6603611193,3,3,4,6,10,21
54681598800,4,4,4,4,4,4
26530793400,5,5,5,5,5,5
56086684000,5,6,6,6,10,10
55918377100,3,7,7,10,13,13
55791194700,6,6,8,13,18,18
56022618900,2,2,2,2,2,3
55343083200,3,3,3,3,3,3
14421843600,8,16,16,16,25,25
55986843900,3,3,20,20,27,27
55949726500,3,3,3,3,3,3
8643671500,2,2,2,2,2,2
7003588359,8,8,8,8,8,12
23479442000,4,4,4,4,4,4
55793884300,7,10,10,10,10,10
7004266071,8,8,8,8,8,14
23481241000,2,5,5,15,16,17
55842914300,4,4,4,5,6,9
8950688900,5,5,5,5,5,5
8856627300,5,5,5,9,9,9
55864614900,2,2,2,2,2,2
55569865700,2,2,2,2,4,4
36637165500,4,7,8,8,8,8
55855332700,3,4,17,17,18,18
55842376000,4,4,4,10,14,14
57198398558,11,11,11,11,11,11
15726739400,4,4,7,7,7,7
7004181341,10,10,10,10,10,10
55976249100,5,5,5,5,5,5
55798615600,4,4,4,4,4,4
54394210100,4,7,9,12,12,12
12040638000,11,11,11,11,11,11
54394281500,2,3,3,3,5,16
55301159700,3,4,8,13,20,33
55669217100,7,16,16,16,51,51
54420044200,6,6,6,6,6,6
6506187265,5,9,14,19,25,41
55390756200,3,3,3,3,3,3
6505875786,2,3,3,3,7,7
56927612400,2,2,2,2,2,2
6506208475,5,5,5,8,8,8
8703318200,4,8,10,11,13,13
55132713200,6,6,6,6,6,6
55945069400,21,21,21,21,21,21
7003675308,7,7,7,7,7,7
55782588100,2,5,6,6,7,17
8969994500,4,4,4,4,4,4
15764447700,9,9,9,9,9,9
55568818900,6,6,6,14,14,14
7003426928,3,3,3,3,3,3
7404390384,8,8,8,8,8,8
13008757100,4,4,7,18,20,20
55607038100,3,3,3,3,3,3
7005963285,13,13,13,13,13,13
55891081400,5,6,8,8,8,8
