Unnamed: 0,ID,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
26424,11839795600,6,6,6,7,7,13,13,20,42,44,54,76,93,2006
26616,35585811600,4,4,12,12,14,16,19,19,19,19,19,23,23,2006
26764,6602622050,2,10,14,16,20,24,24,24,25,27,27,27,27,2006
26821,56217157900,4,4,4,4,4,4,4,4,4,4,32,32,32,2006
26919,18535501100,1,1,1,4,4,4,4,4,4,15,19,23,23,2006
26944,35981632300,9,9,9,9,9,9,9,9,9,9,9,9,9,2006
26949,24528103200,7,7,7,7,20,20,44,57,71,72,72,78,82,2006
26963,15136037000,2,5,29,34,38,38,45,52,55,75,75,86,91,2006
26975,57194293526,2,2,2,5,9,10,11,11,12,14,14,16,16,2006
26982,6701439271,14,19,25,25,30,30,30,30,41,41,41,41,41,2006
27054,14047947400,2,6,6,13,13,17,20,20,25,25,28,34,38,2006
27105,8219610300,10,10,10,10,10,16,34,59,60,62,68,71,78,2006
27149,7006690002,3,3,3,3,3,3,3,3,3,3,3,3,3,2006
27176,6603043218,2,2,2,2,2,2,2,2,2,2,2,3,3,2006
27243,6602570174,2,2,2,2,2,2,2,2,2,2,7,7,7,2006
27296,7202494765,3,4,4,4,4,4,4,4,4,4,4,4,4,2006
27496,10039249400,3,3,3,3,3,3,3,3,3,3,3,3,3,2006
27668,6506310167,8,9,9,9,9,9,9,9,9,9,9,9,9,2006
27670,6701611159,5,5,5,12,16,25,25,25,25,25,25,25,25,2006
27804,6603060203,5,7,11,11,13,13,15,16,16,17,17,17,17,2006
27912,8375602100,6,6,6,6,6,6,6,6,6,6,6,6,6,2006
28207,23989632700,7,11,11,11,15,15,15,15,15,15,15,15,22,2006
28208,20434939700,3,5,6,6,7,9,16,16,16,19,20,22,25,2006
28243,6603723398,3,3,4,4,4,4,4,8,8,8,8,13,13,2006
28322,56102395600,2,8,10,10,15,15,15,26,29,29,41,45,45,2006
28381,19638327600,3,3,3,3,13,17,26,32,40,49,57,74,83,2006
28417,15845797100,10,10,26,26,32,32,32,47,47,47,47,47,47,2006
