Unnamed: 0,ID,2015,2016,2017,2018,start_year
3739,16678335800,3,3,3,3,2015
3741,23470114300,26,26,26,26,2015
3746,8087635700,4,4,8,8,2015
3752,57015671700,7,7,7,7,2015
3756,56586183700,4,4,4,4,2015
3757,56574253400,3,3,3,3,2015
3772,55481705600,4,4,4,4,2015
3774,56490742600,5,5,5,5,2015
3801,55882114500,21,21,21,21,2015
3802,57202051911,3,3,3,3,2015
3805,57194876225,3,3,3,3,2015
3810,6505808524,9,9,9,9,2015
3815,55445267300,11,11,11,11,2015
3817,56815964400,4,4,4,4,2015
3821,57188717153,1,1,1,1,2015
3826,56661855200,2,2,2,2,2015
3834,57172138300,2,2,2,2,2015
3838,7103352803,8,8,8,8,2015
3839,55834885800,2,2,2,2,2015
3862,35113564800,8,8,8,8,2015
3870,56128299500,8,8,8,8,2015
3872,57188757432,3,3,3,3,2015
3885,15831610200,2,2,2,2,2015
3899,57028454200,2,2,2,2,2015
3900,56784004400,5,5,36,36,2015
3903,57201396227,7,7,7,7,2015
3906,12142735000,6,6,6,6,2015
3907,55705471600,2,2,2,2,2015
3933,56612513600,56,56,56,56,2015
3951,56160102300,4,4,4,4,2015
3954,56820246200,7,7,7,7,2015
3957,56375241500,3,3,3,3,2015
3967,55606655400,12,26,26,26,2015
3975,55032819400,6,6,7,7,2015
3981,57193387351,3,3,3,3,2015
3986,35613331800,4,7,7,7,2015
3988,36521412000,3,3,3,3,2015
4012,56203506800,3,3,3,3,2015
4045,57000363700,5,5,5,5,2015
4069,55553684000,37,37,37,37,2015
4074,56809336000,7,7,18,21,2015
4088,55953976200,6,6,6,6,2015
4097,24315322700,7,7,7,7,2015
4120,56938263300,4,4,4,4,2015
4137,55305767500,4,4,4,4,2015
4154,56562751500,8,8,8,8,2015
4159,55756077900,15,15,15,15,2015
4192,51161041300,2,2,2,2,2015
4198,57198096624,1,1,1,1,2015
4202,56424126800,1,1,1,1,2015
4207,56437691100,8,8,12,12,2015
4214,56539604900,5,10,10,10,2015
4215,56911930600,3,3,3,3,2015
4225,55605658300,2,2,2,2,2015
4235,15080758200,12,12,12,20,2015
4239,7202958762,5,5,5,5,2015
4245,56368051900,3,3,3,3,2015
4251,16238885900,4,4,4,4,2015
4272,7004293596,12,12,12,12,2015
4275,56568193700,3,3,3,9,2015
4288,56623082500,5,5,5,10,2015
4301,56861731600,11,11,11,11,2015
4326,56897232400,3,7,7,7,2015
4330,57188858427,7,7,7,7,2015
4336,57205541449,3,3,3,3,2015
4337,56904189400,6,6,8,8,2015
4341,56999973500,1,1,1,1,2015
4359,55436035700,1,1,1,1,2015
4367,56043639600,4,4,4,4,2015
4375,57188743338,5,5,5,5,2015
4376,56928495300,4,6,6,6,2015
4378,56379399000,12,12,12,12,2015
4383,55844573100,6,6,6,6,2015
4386,7402435757,2,2,2,2,2015
4401,54585718400,2,2,52,52,2015
4403,57204634346,6,6,6,6,2015
4404,56964444100,2,2,2,2,2015
4415,56606226000,7,12,12,12,2015
4431,7006992959,4,4,4,7,2015
4441,54903934600,5,6,6,9,2015
4444,7005218362,5,5,5,11,2015
4448,15019107000,3,3,3,3,2015
4449,57128075300,8,8,8,8,2015
4450,57173023500,1,2,2,4,2015
4453,56767647400,7,7,7,7,2015
4456,7004916334,3,3,3,3,2015
4464,57188724131,7,7,7,7,2015
4490,56596683000,3,3,3,3,2015
4493,56666894400,1,1,1,1,2015
4498,36928337300,4,4,4,4,2015
4503,56574806500,12,12,12,12,2015
4508,57200978661,4,4,4,4,2015
4526,57115301100,1,1,1,1,2015
4533,57188757774,2,2,2,2,2015
4547,56868457200,4,4,4,4,2015
4564,24468443400,83,83,83,83,2015
4568,56651417700,3,3,3,3,2015
4569,57021920100,6,6,6,6,2015
4570,57188683397,3,3,3,3,2015
4577,57193838056,17,17,19,19,2015
4578,38961084400,37,37,37,63,2015
4584,57022881000,3,3,3,3,2015
4590,56644568300,2,2,2,2,2015
4600,7006438742,3,3,3,3,2015
4604,56622699200,2,2,2,2,2015
