Unnamed: 0,ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
8279,6505841558,1,1,1,1,1,1,1,1,3,2010
8286,36439531500,4,4,4,4,4,4,4,4,4,2010
8315,36810320900,8,8,8,8,8,8,8,8,8,2010
8317,36460802100,4,6,7,7,7,11,11,11,11,2010
8339,56267985100,3,3,3,3,3,3,3,3,3,2010
8341,16176509300,4,4,4,4,4,4,4,4,4,2010
8353,57205095822,1,2,2,2,2,2,2,2,2,2010
8355,23089313900,16,16,22,22,22,22,39,39,39,2010
8389,12801438900,50,50,135,135,135,135,135,135,135,2010
8390,6507596223,3,3,3,3,3,3,3,3,3,2010
8402,36160046400,4,4,4,4,4,4,4,4,4,2010
8418,36245228800,2,2,2,2,2,2,2,2,2,2010
8456,56184996300,3,3,3,5,5,5,5,5,5,2010
8466,57199675561,3,3,3,3,3,3,3,3,3,2010
8481,36459709100,2,2,3,5,5,5,5,5,5,2010
8510,36740681900,4,5,8,10,10,10,10,10,10,2010
8523,36198040000,3,3,3,3,3,3,3,3,3,2010
8533,36655982700,5,5,5,5,5,5,5,5,5,2010
8545,8950548100,4,4,4,4,4,4,4,4,4,2010
8567,35755527100,2,2,2,2,2,4,4,4,4,2010
8569,36610764000,2,2,2,2,2,2,2,2,2,2010
8586,9435333300,13,13,13,13,13,13,13,13,13,2010
8599,55430960600,1,1,4,4,4,4,4,4,4,2010
8627,36628103300,1,1,5,5,10,10,13,13,20,2010
8642,57111151100,78,78,78,78,78,78,78,78,78,2010
8713,6701649800,13,13,13,13,22,22,34,34,34,2010
8721,6602702005,4,7,7,11,11,11,15,15,15,2010
8750,25646533000,5,5,7,7,7,7,7,7,7,2010
8756,36469827100,2,2,2,2,2,2,2,2,2,2010
8783,6701449715,39,39,39,39,39,39,39,39,39,2010
8785,37053518000,6,6,6,6,6,6,6,6,6,2010
8789,16239952600,1,1,1,1,1,1,1,1,1,2010
8806,15757847500,1,2,2,2,2,2,2,2,2,2010
8821,36118246700,2,2,2,2,2,2,2,2,2,2010
