Unnamed: 0,ID,2016,2017,2018,start_year
8384,57188714703,2,2,2,2016
8414,56678644300,49,49,49,2016
8436,8631029400,24,24,24,2016
8455,7006510157,7,7,7,2016
8457,36015101700,4,4,4,2016
8458,23110544500,5,5,5,2016
8461,57192525126,2,2,2,2016
8472,56347957000,16,16,16,2016
8483,55553326800,49,49,75,2016
8487,6504507994,5,5,5,2016
8501,55369168800,12,12,12,2016
8513,36079203000,7,7,7,2016
8516,56960505100,6,6,6,2016
8531,8889302300,3,6,8,2016
8564,57200600534,3,3,3,2016
8589,57193121796,4,4,4,2016
8594,57204410455,5,5,5,2016
8601,56028324700,9,9,9,2016
8629,25230625200,10,10,10,2016
8680,57190805870,4,7,9,2016
8698,24586737500,3,3,3,2016
8702,56893432700,5,5,5,2016
8703,7004558072,3,3,3,2016
8729,51461201600,5,5,6,2016
8736,6508316586,16,16,16,2016
8755,23967631600,5,5,5,2016
8798,56651080400,4,4,4,2016
8824,57190439460,4,4,4,2016
8826,57192714475,2,2,2,2016
8839,57192591006,7,7,7,2016
8867,57191428882,2,5,5,2016
8871,6602801979,10,10,10,2016
8876,56781474900,4,4,7,2016
8913,35098675400,6,6,6,2016
8920,6602623220,4,4,4,2016
8921,26322678400,2,2,2,2016
8959,6602716168,9,9,9,2016
8972,54420885200,1,4,4,2016
9035,6508375570,1,1,1,2016
9055,56275876400,2,6,6,2016
9095,6507548318,2,2,2,2016
9096,6506681406,16,16,16,2016
9101,57206299234,4,4,4,2016
9108,57194059317,5,5,5,2016
9110,55332196000,10,10,10,2016
9118,57191968148,2,2,2,2016
9122,15056048500,16,16,18,2016
9127,55777044100,8,8,8,2016
9135,8509434700,11,11,11,2016
9137,55552080000,9,9,9,2016
9139,55180450900,1,1,1,2016
9193,38261814300,3,3,3,2016
9200,54788147500,9,9,9,2016
9203,57190069318,2,2,2,2016
9217,7005710520,2,2,4,2016
9219,54929932800,7,7,7,2016
9235,57203571459,1,1,1,2016
9257,15064466200,5,5,5,2016
9264,57062732600,5,5,5,2016
9267,6602176524,27,27,27,2016
9293,6603512260,4,4,4,2016
9299,56488108800,5,5,5,2016
9300,57192069638,2,2,2,2016
9335,57203737597,2,2,2,2016
9336,35421870300,81,81,81,2016
9340,57078160800,8,8,8,2016
9366,57186679100,3,3,3,2016
9373,57190075295,81,81,81,2016
9377,24824680900,8,8,8,2016
9383,56817030600,11,11,11,2016
9397,36246805000,10,10,15,2016
9418,57198660179,5,5,5,2016
9423,57171524000,82,82,82,2016
9430,14022924500,1,1,1,2016
9432,36992162200,45,45,45,2016
9455,9235421400,1,1,1,2016
9462,56426249400,7,7,7,2016
9486,36650377000,5,5,5,2016
9493,57190071341,2,2,2,2016
9508,53663781300,3,3,3,2016
9521,7006466102,59,59,81,2016
9536,50263767800,2,2,2,2016
9554,57188574559,4,4,4,2016
9579,7003811442,5,5,6,2016
9582,57191224440,3,3,5,2016
9609,44061504500,4,7,7,2016
9623,9737168200,24,24,24,2016
9648,57191567652,45,45,45,2016
9651,56114878300,16,16,18,2016
9668,55638880700,3,3,3,2016
9696,24337024400,12,12,12,2016
9739,57203556768,1,1,1,2016
9743,57192369366,2,2,4,2016
9752,55110571200,81,81,81,2016
9802,56006891400,28,28,33,2016
9803,55907531800,6,6,6,2016
9805,26430587700,27,27,27,2016
9808,56291578300,3,3,3,2016
9823,57189352376,3,3,3,2016
9835,6506335479,5,5,10,2016
9887,15060638400,14,14,14,2016
9892,15031103800,9,9,9,2016
9931,7005382725,6,6,6,2016
9933,8337451300,1,1,3,2016
9934,8219662100,5,6,6,2016
9935,55989768700,4,4,7,2016
9957,13104482700,10,10,10,2016
9960,55953170300,7,7,7,2016
9985,36599291700,2,2,2,2016
9998,56180688500,7,7,7,2016
10002,7401958611,4,4,4,2016
10015,7202239693,2,2,2,2016
10057,57194339485,5,5,5,2016
10064,8542158100,7,7,7,2016
10070,54886211300,3,3,7,2016
10081,57190580569,13,13,16,2016
10106,55954358700,3,3,3,2016
10140,55022698900,4,4,4,2016
10179,57192266369,17,17,17,2016
10190,56522655600,3,3,3,2016
10198,56549872100,2,4,4,2016
10212,56608995000,5,5,5,2016
10217,57188847390,39,39,39,2016
10223,57189030668,5,5,10,2016
10254,57192098277,5,5,5,2016
10275,55758478100,13,13,13,2016
10293,57189358906,5,5,6,2016
10311,57193132344,4,4,4,2016
10329,55916543200,7,7,7,2016
10330,55347170400,4,4,4,2016
10334,56338469200,3,3,3,2016
10369,57190225246,4,4,4,2016
10390,55879330900,4,4,4,2016
10427,57203544791,3,3,3,2016
10444,25655401200,4,4,4,2016
10452,7101700712,4,4,4,2016
10453,57194744165,6,6,6,2016
10459,36624993900,8,8,8,2016
10467,57192578051,87,87,87,2016
10472,35179661100,7,7,7,2016
10475,6603444842,13,13,13,2016
10497,57188700666,7,7,7,2016
10510,12791943100,45,45,54,2016
10537,57191752797,4,4,4,2016
10562,7006347792,9,9,9,2016
10563,55777145000,2,2,2,2016
10570,57189644174,2,2,2,2016
10597,57192153038,3,3,3,2016
10600,35355356900,16,16,16,2016
10606,57201683078,7,8,12,2016
10622,57190070411,81,81,81,2016
10635,18433444800,77,77,94,2016
10640,57192072184,2,2,2,2016
10644,57189907141,2,2,2,2016
10662,57190164735,1,1,1,2016
10689,57190279218,2,2,2,2016
10700,14027607600,6,6,6,2016
10704,53985126600,2,2,2,2016
10714,57192371539,4,4,4,2016
10736,57197675569,4,4,4,2016
10761,57192165387,3,4,4,2016
10785,56428019700,3,5,5,2016
10799,16029152300,17,17,17,2016
10800,56184864800,11,12,12,2016
10804,56674759200,4,4,4,2016
10814,57191616688,15,15,15,2016
10819,57190564943,6,6,7,2016
10830,7003925269,6,6,7,2016
10843,14632281000,8,12,17,2016
10867,57188971551,2,2,2,2016
10878,57202392508,5,5,5,2016
10885,55368257900,2,2,2,2016
10901,57192372791,4,4,4,2016
10910,16312250100,15,15,15,2016
10928,16240074500,3,3,3,2016
10983,18436694000,10,10,10,2016
10989,57194116385,16,16,16,2016
10994,57192157983,26,27,27,2016
10997,56031312700,4,7,7,2016
11005,57193318435,2,2,4,2016
11028,7004714924,3,5,9,2016
11031,57192697237,3,4,4,2016
11048,57190250802,7,7,7,2016
11059,56902426800,6,6,6,2016
11084,55680812800,5,5,5,2016
11091,36455806600,6,6,6,2016
11121,6507472059,7,7,7,2016
11136,7005372717,24,24,24,2016
11142,56340499000,4,4,4,2016
11145,55764915300,4,4,4,2016
11163,35167813200,13,13,13,2016
11173,24512207900,5,5,5,2016
11176,56915992200,10,10,10,2016
11194,55809182600,4,4,4,2016
11206,7203076527,26,26,26,2016
11227,21741780900,3,3,3,2016
11238,6507411761,81,81,81,2016
11240,56402486000,47,47,47,2016
11248,55303193200,2,2,2,2016
11257,56725280500,17,17,17,2016
11265,6507401030,10,10,10,2016
11296,16553339300,9,9,13,2016
11299,57191032399,17,17,17,2016
11308,34869482700,2,7,7,2016
11311,57191189255,14,20,20,2016
11318,8084443000,24,85,85,2016
11323,57155830600,9,9,9,2016
11371,6507230171,55,55,55,2016
11374,57189644445,1,1,1,2016
11474,36642645200,11,11,11,2016
11475,35314823600,72,72,158,2016
11477,7403387815,13,13,13,2016
11508,35558651700,77,77,94,2016
11550,57191224433,2,2,2,2016
11563,7004509377,2,2,2,2016
11571,7402652794,2,2,2,2016
11581,57192107969,2,2,2,2016
11584,57189301958,14,14,14,2016
11593,57198889213,3,3,3,2016
11598,57127316900,7,7,10,2016
11601,57199854760,4,4,4,2016
11603,24167561400,4,4,4,2016
11614,56622962800,3,3,3,2016
11615,23974364200,28,28,28,2016
11625,57191341597,27,32,32,2016
11645,57193118329,5,5,5,2016
11722,57192701593,4,4,4,2016
11730,57188537381,3,3,3,2016
11738,6602461066,2,2,2,2016
11744,22935153400,50,50,83,2016
11758,57192375228,4,6,8,2016
11767,24757955700,1,1,1,2016
11769,55912048200,11,11,11,2016
11779,57192236862,8,9,10,2016
11828,26026157200,3,3,3,2016
11829,57191567705,45,45,45,2016
11849,35243698500,33,39,39,2016
11880,7006519840,12,12,12,2016
11886,54420760900,4,4,4,2016
11897,57193672335,4,4,4,2016
11915,57198456299,4,4,4,2016
11923,57190339681,3,3,3,2016
11959,56811439000,5,5,9,2016
11974,7102453549,4,4,4,2016
11978,19639478700,16,16,16,2016
12058,25028944700,1,12,12,2016
12064,57057847700,7,7,7,2016
12079,56264438900,2,2,2,2016
12082,8835983800,3,3,7,2016
12087,35345513500,7,7,26,2016
12089,57190184011,2,2,2,2016
12102,36131082900,3,3,3,2016
12124,35174212600,1,1,1,2016
12148,24721210600,9,9,9,2016
12158,36191034900,7,7,7,2016
12169,57199628451,11,11,11,2016
12170,57196666967,4,4,4,2016
12190,57190382001,18,18,18,2016
12199,57114662200,3,3,3,2016
