Unnamed: 0,ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
55862,7003974965,1,1,1,1,1,1,5,5,5,5,7,14,14,21,22,24,30,31,40,43,46,48,50,52,57,63,72,77,1991
55969,36048418300,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,13,13,13,13,13,13,13,13,13,13,13,1991
56221,7007035826,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,1991
56654,6701741824,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1991
57166,7005953232,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1991
57254,6603669132,2,2,2,5,6,6,6,6,6,8,8,12,12,12,12,13,13,15,16,16,16,16,16,16,16,16,16,16,1991
57624,6603876847,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,1991
57822,6603156048,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,14,14,14,14,14,14,22,22,22,22,22,22,22,1991
58899,7005798638,4,4,7,7,7,7,7,10,11,11,11,11,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1991
60504,7404226625,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,16,16,16,16,16,16,16,16,16,16,1991
60564,7101942899,1,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1991
61056,6602181269,3,3,3,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1991
62201,6506935238,1,1,2,3,3,3,3,5,5,5,5,5,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,1991
62858,7102188671,2,2,2,3,3,4,7,8,10,11,11,11,11,13,16,16,18,22,24,24,24,26,26,26,28,28,28,28,1991
63456,6701554441,2,2,4,4,9,14,18,20,22,25,31,31,35,36,36,36,36,37,37,37,39,44,45,48,50,50,57,62,1991
63762,16219991000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,11,11,11,11,11,11,11,11,1991
63832,7103064365,5,5,5,5,5,5,10,10,10,10,10,10,10,11,14,16,17,19,19,20,22,24,29,38,38,56,62,65,1991
64276,12758655900,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,17,17,17,17,17,17,1991
64362,55917484500,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,5,5,5,5,6,7,7,13,13,13,1991
64746,56340419900,3,3,3,3,3,3,3,3,3,5,6,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,14,14,1991
64750,55888258000,1,1,1,1,1,1,1,1,2,5,5,13,13,13,21,21,21,21,22,30,30,30,30,30,30,30,30,30,1991
65333,7402866951,2,2,8,11,12,13,17,22,22,22,25,28,33,34,43,51,60,61,63,66,74,87,91,99,106,112,119,123,1991
