Unnamed: 0,ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
6323,23389291900,4,4,4,4,4,4,4,4,4,4,4,4,2007
6374,6602988315,11,11,11,11,11,11,11,11,11,11,11,11,2007
6379,57199610881,4,7,8,8,8,8,8,8,8,8,8,8,2007
6381,24367226200,2,2,2,2,2,2,2,2,2,2,2,2,2007
6402,6602541747,2,2,2,2,2,2,2,2,2,2,2,2,2007
6403,19638562300,10,10,10,16,16,16,16,16,16,16,16,16,2007
6448,7006614303,6,6,6,6,6,6,6,6,6,6,6,6,2007
6495,24776501500,4,9,9,9,9,9,9,9,15,15,15,22,2007
6542,7103141093,2,2,2,2,11,16,32,48,55,58,64,67,2007
6550,25630837600,4,22,24,24,24,24,24,24,24,24,24,24,2007
6563,8297821700,10,10,10,10,10,10,10,10,10,10,10,10,2007
6573,25823742400,2,2,6,6,6,6,6,6,6,6,6,6,2007
6575,6603716061,3,3,3,3,6,7,7,7,7,7,7,7,2007
6581,15048842800,5,5,5,5,5,5,5,5,5,5,5,5,2007
6593,11139717600,6,6,6,6,6,6,6,6,6,6,6,6,2007
6601,6602424428,6,6,6,6,6,6,6,6,6,6,6,6,2007
6646,8403430500,6,6,6,6,6,6,6,6,6,6,6,6,2007
6655,18041939700,3,3,3,3,3,3,3,3,3,3,3,3,2007
6657,24073302200,13,36,36,36,46,46,46,46,46,46,46,46,2007
6667,7006240936,14,14,14,19,19,19,19,19,19,19,19,19,2007
6679,20434298400,1,1,1,3,3,3,3,3,3,3,3,3,2007
6680,7201530046,11,11,11,11,11,11,11,11,11,35,35,35,2007
6714,55717139500,3,3,3,3,3,3,3,3,3,3,3,3,2007
6740,57194393910,12,12,12,12,61,61,61,61,61,61,61,61,2007
6745,9434768100,4,4,4,4,4,4,4,4,4,4,4,4,2007
6755,14025125700,6,6,6,7,7,7,10,10,10,11,14,14,2007
6756,6506736003,4,4,4,7,7,7,7,9,9,9,9,9,2007
6757,23006823300,4,4,4,4,4,4,7,7,7,7,8,8,2007
6788,24069841400,7,7,7,7,7,7,7,7,7,7,7,7,2007
6800,57202391057,3,3,3,3,3,5,6,6,6,6,6,6,2007
6801,6506933831,2,2,2,2,2,2,2,2,2,2,2,2,2007
6894,35101453400,2,2,5,5,5,7,7,7,7,7,7,7,2007
6896,23974524000,1,1,3,3,3,3,3,3,3,3,3,3,2007
6903,23396049700,2,5,5,6,8,8,8,8,8,8,8,11,2007
6923,6507823308,3,3,3,3,3,3,3,3,3,3,3,3,2007
6928,18635108500,17,17,17,17,17,17,17,17,17,17,17,17,2007
6932,23389858600,8,8,8,8,8,8,8,8,8,12,17,17,2007
6942,24463312700,6,6,6,6,6,6,6,6,6,6,6,6,2007
6947,24343033500,4,4,4,4,4,4,4,4,4,4,4,4,2007
6952,16317678000,10,10,10,10,10,10,10,10,10,10,10,10,2007
6968,51561591100,3,3,3,3,3,3,3,3,3,3,3,3,2007
7016,7005088084,13,13,13,13,13,13,13,13,13,13,13,13,2007
7119,25627908000,3,6,6,9,9,12,12,25,28,35,38,50,2007
7143,7006723058,2,3,3,3,3,3,3,3,3,3,3,3,2007
7145,36707984500,12,12,12,12,12,12,12,12,12,12,12,12,2007
7153,6603937596,7,7,7,7,7,7,7,7,7,7,7,7,2007
7155,6602458959,5,5,5,8,11,11,11,15,15,15,16,16,2007
7202,9943022800,3,3,3,3,3,3,3,3,3,3,3,3,2007
