Unnamed: 0,ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
8050,55952512800,4,10,10,11,11,16,16,16,16,16,16,16,16,16,16,16,16,2002
8093,7004338553,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,2002
8112,16053389600,1,1,1,3,3,3,3,3,6,8,8,15,17,19,23,24,24,2002
8113,7801601139,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2002
8136,6506589447,2,4,4,4,7,7,7,7,7,7,7,7,14,14,14,14,14,2002
8150,16515666900,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
8154,8235052100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
8157,6602356454,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2002
8182,14054004400,7,7,7,7,7,7,7,7,7,7,7,21,21,21,21,21,21,2002
8277,24284980100,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
8324,7801383385,2,7,7,7,7,7,7,7,7,12,15,19,19,19,19,23,26,2002
8330,6603657341,6,9,11,12,18,30,35,35,37,38,38,43,43,43,48,48,48,2002
8347,7101705284,3,3,3,3,8,8,8,11,11,11,11,11,11,11,11,11,11,2002
8348,16033218700,2,2,2,4,4,39,48,49,54,69,77,85,86,88,89,103,111,2002
8366,24334497100,1,1,1,1,1,1,3,5,5,7,7,7,8,15,17,22,24,2002
8432,7401894549,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2002
8474,7202556637,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
8490,35618435800,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
8531,56269232000,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2002
8549,6602738233,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2002
8555,7403485965,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,2002
8570,7003303971,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2002
8611,7006159698,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2002
8617,56060225600,4,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2002
8701,36806652400,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
8704,6603577641,2,2,3,5,5,5,7,10,10,10,10,10,10,10,34,34,72,2002
8741,6506589056,2,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2002
8782,6701482149,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,2002
8799,6602465710,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2002
