Unnamed: 0,ID,2018,start_year
7571,57202819874,5,2018
7591,57204322101,12,2018
7599,26636227300,5,2018
7647,7007020724,15,2018
7661,55955505500,11,2018
7680,57206372298,4,2018
7681,57207667093,3,2018
7691,57193388418,15,2018
7692,57202943972,3,2018
7709,57206760819,4,2018
7730,22984408800,6,2018
7737,57201377344,2,2018
7785,15623899400,6,2018
7789,35181657100,7,2018
7810,8966614100,8,2018
7822,55753715200,5,2018
7837,57196101770,70,2018
7840,57204718742,12,2018
7857,57197801981,20,2018
7866,57202044765,2,2018
7882,7003541239,3,2018
7891,55504229800,3,2018
7902,57192680962,4,2018
7906,54420612200,6,2018
7922,57204303591,5,2018
7937,23767651300,6,2018
7972,57203361120,2,2018
7976,57201034762,6,2018
7999,7202799510,28,2018
8000,57189607597,5,2018
8028,57190026643,14,2018
8031,57204803235,3,2018
8054,36662639000,9,2018
8056,24072607700,11,2018
8058,7202824028,35,2018
8061,57205355467,1,2018
8062,16246093500,28,2018
8072,57202787355,6,2018
8087,57197261242,35,2018
8107,57204166704,4,2018
8110,57191896486,5,2018
8111,57203764894,7,2018
8113,56364787900,9,2018
8118,7103255696,9,2018
8139,52564373300,5,2018
8148,57205529930,5,2018
8169,55993738300,11,2018
8177,55413900600,5,2018
8184,57189049805,4,2018
8189,57207539369,4,2018
8193,57192276583,3,2018
8196,57205548815,8,2018
8210,57194470819,3,2018
8220,7006480369,5,2018
8232,11139814600,6,2018
8239,14034822300,3,2018
8247,6602213358,3,2018
8254,6504528124,80,2018
8274,34267543700,5,2018
8303,55247180800,3,2018
8305,57204182657,2,2018
8321,57206338927,21,2018
8330,57192589742,8,2018
8334,39862078000,53,2018
8336,57200002628,2,2018
8363,57202458090,5,2018
8375,57204018224,8,2018
8384,35766202200,3,2018
8386,57192908596,2,2018
8426,57196261417,6,2018
8436,57195356909,6,2018
8441,36619313700,9,2018
8456,57204048399,2,2018
8464,6701772394,14,2018
8487,57205229984,4,2018
8493,27172267600,6,2018
8500,56497046800,20,2018
8551,7005776035,30,2018
8554,56080872200,14,2018
8555,57201584267,6,2018
8567,26424953100,17,2018
8589,57204336425,14,2018
8597,57203279620,5,2018
8599,57202154883,20,2018
8636,57196373889,3,2018
8637,57202048071,7,2018
8644,57204217478,11,2018
8652,57202535502,2,2018
8666,56734485900,4,2018
8684,57201457423,3,2018
8698,56278225500,6,2018
8700,57204216416,6,2018
8703,53984616000,7,2018
8713,36979233000,5,2018
8715,57207348481,5,2018
8732,55531799600,7,2018
8733,6506117692,12,2018
8737,55213700400,10,2018
8738,57196468457,5,2018
8742,56372254800,1,2018
8763,35572966200,8,2018
8780,56037441100,13,2018
8794,7004402540,3,2018
8798,13403842300,3,2018
8813,57201698652,3,2018
8820,22942757100,4,2018
8850,57201772072,1,2018
8868,57202099197,4,2018
8874,57204828255,2,2018
8885,54394074900,1,2018
8893,56516469900,8,2018
8919,56299624200,3,2018
8953,57194030903,6,2018
8965,57207162268,70,2018
8967,24068493200,11,2018
8989,57203057818,2,2018
8994,55736396700,2,2018
8997,57188804097,2,2018
9004,57193264559,5,2018
9012,13407813500,5,2018
9016,57200686367,10,2018
9017,57205100073,1,2018
9040,57202662439,5,2018
9045,26654293200,1,2018
9056,57201297813,4,2018
9057,57190975106,7,2018
9062,57204052961,7,2018
9074,57201193471,3,2018
9087,56982983200,7,2018
9098,57202787881,2,2018
9099,57201992071,6,2018
9106,57206705008,2,2018
9111,57205378753,6,2018
9113,57205363993,2,2018
9120,57203501476,79,2018
9149,57203914396,3,2018
9198,57203896970,2,2018
9203,57204791771,4,2018
9210,57195986928,22,2018
9229,57204830423,31,2018
9239,7202076419,8,2018
9249,57201381621,3,2018
9252,56671317900,6,2018
9279,57194339449,8,2018
9291,7103288466,5,2018
9293,55851513600,5,2018
9298,54892979700,2,2018
9307,57203206479,3,2018
9314,55539189393,39,2018
9315,35105296500,9,2018
9320,57201728873,7,2018
9327,57192210497,4,2018
9340,57194048727,4,2018
9349,7101795216,3,2018
9360,26321692300,3,2018
9362,15026017000,1,2018
9367,57206965726,3,2018
9369,57203963834,8,2018
9379,57203141793,9,2018
9383,57190225581,1,2018
9394,57203566739,5,2018
9395,6601978023,2,2018
9399,57204173907,4,2018
9404,54917400200,3,2018
9411,55755712400,84,2018
9417,57203843262,2,2018
9424,57190945563,3,2018
9428,56054691600,8,2018
9445,57201490144,3,2018
9447,57200939888,17,2018
9448,23088276800,3,2018
9454,57206437896,3,2018
9479,57201365345,3,2018
9483,57202609092,10,2018
9488,57202678593,3,2018
9494,56690529500,4,2018
9502,57204562301,5,2018
9513,26658901500,7,2018
9519,8324451300,1,2018
9521,57193896996,22,2018
9539,10639567100,17,2018
9540,57192154323,3,2018
9555,55332473400,5,2018
9569,35300750500,1,2018
9574,7801376968,4,2018
9577,56026027700,12,2018
9607,57203061476,2,2018
9610,56857003900,1,2018
9611,15843705300,8,2018
9612,57203995487,2,2018
9621,57205193219,7,2018
9636,57191910378,2,2018
9637,35110553600,4,2018
9642,35768456900,4,2018
9643,57202996806,3,2018
9658,57205100418,5,2018
9659,57194287078,5,2018
9672,6701455542,5,2018
9678,56294200700,15,2018
9710,26535318100,30,2018
9723,57202969985,3,2018
9732,57193950819,2,2018
9735,57203008864,2,2018
9736,57204918973,3,2018
9746,55736928900,6,2018
9760,56034366600,30,2018
9768,57203568754,4,2018
9774,57204369272,5,2018
9781,57201923753,3,2018
9827,7003349112,3,2018
9838,56230515000,5,2018
9845,55620482500,70,2018
9847,7202386927,6,2018
9860,56875871500,3,2018
9862,57201152090,1,2018
9863,57202893556,6,2018
9888,24586702500,18,2018
9909,6603462219,2,2018
9911,35174323300,3,2018
9921,6507302277,6,2018
9936,35090527600,3,2018
9951,57189086902,2,2018
9961,57203537166,20,2018
10044,57193865019,6,2018
10045,35799737200,4,2018
10051,57188641473,6,2018
10056,56268734600,11,2018
10082,57206951466,4,2018
10090,7003796790,7,2018
10095,56736920100,3,2018
10113,6603314372,10,2018
10119,55411983300,3,2018
10120,57206295322,21,2018
10185,57188682647,5,2018
10220,57203046535,9,2018
10223,57201552089,4,2018
10241,6603102021,7,2018
10242,57191608900,3,2018
10243,57204143771,7,2018
10255,57204000814,6,2018
10261,6602597867,2,2018
10280,55856075300,6,2018
10288,57192181007,11,2018
10295,6508248703,43,2018
10311,7102845775,6,2018
10318,57207365360,8,2018
10329,7005565428,8,2018
10336,57195292006,3,2018
10342,57202008489,4,2018
10364,6602161452,11,2018
10374,57207756066,26,2018
10410,6701451918,11,2018
10416,35299598100,1,2018
10422,7201992753,15,2018
10428,8843296600,51,2018
10429,7201864882,19,2018
10439,57173947900,78,2018
10443,7404124277,12,2018
10489,57206346116,5,2018
10490,13608047100,17,2018
10513,57199329238,9,2018
10541,6603542065,4,2018
10550,57204305314,7,2018
10554,6603282334,11,2018
10574,22940629000,3,2018
10580,57203091640,3,2018
10589,57202849162,2,2018
10599,57200920630,3,2018
10632,16553598500,6,2018
10658,6603132236,5,2018
10659,7003319614,25,2018
10671,57188880414,6,2018
10693,6603964921,23,2018
10698,57206526833,5,2018
10717,57204371496,3,2018
10740,36998775500,2,2018
10743,57202979274,3,2018
10766,55848895400,15,2018
10774,6506122238,5,2018
10781,56208859400,12,2018
10793,57201885823,3,2018
10795,57202034457,8,2018
10807,57202847238,29,2018
10808,55971733400,17,2018
10825,57203000108,6,2018
10845,56940650700,8,2018
10846,57200625666,11,2018
10860,57203683571,20,2018
10862,57205231603,9,2018
10881,6701324095,6,2018
10910,57205734556,5,2018
10929,7006947356,11,2018
10932,57201435890,48,2018
10940,57198443307,8,2018
10943,57204901722,2,2018
10946,7202577765,4,2018
10949,53870416800,4,2018
10950,23393698800,7,2018
10960,57193322618,7,2018
10964,56520260400,1,2018
10968,36834170000,5,2018
10980,57192368601,5,2018
10991,36793618300,4,2018
11010,57193236002,2,2018
11011,7006414053,4,2018
11020,57204175733,53,2018
11031,7103192491,9,2018
11052,55831631800,19,2018
11068,6602980742,2,2018
11071,57207127759,3,2018
11072,6602351827,2,2018
